DiaChi,TinhTrangBDS,DienTich,Gia/m2,Phongngu,TenPhanKhu,SoTang,PhongTam,Loai,GiayTo,MaCanHo,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,DacDiem,Gia
"Đường Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 62 m²," 32,26 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đã có sổ,,,,,,2 tỷ- 62 m2đ
"Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 95 m²," 55,79 triệu/m²", 3 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,, Căn góc,"5,3 tỷ- 95 m2đ"
"Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh", Chưa bàn giao, 75 m²," 34,4 triệu/m²", 2 phòng,2,5, 2 phòng, Chung cư, Giấy tờ khác,17,, Đông Nam, Đông Nam,,"2,58 tỷ- 75 m2đ"
"108, Đường Hồng Hà, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh", Đã bàn giao, 70 m²," 57,14 triệu/m²", 1 phòng, A,7, 1 phòng, Chung cư, Đang chờ sổ, BPA - 0712, Nội thất cao cấp, Đông Nam, Tây Bắc,,4 tỷ- 70 m2đ
"Đường Hậu Giang, Phường 11, Quận 6, Tp Hồ Chí Minh", Đã bàn giao, 83 m²," 35,54 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đã có sổ,, Nội thất cao cấp, Tây Bắc,,,"2,95 tỷ- 83 m2đ"
"196, 196 Đường Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 71 m²," 27,89 triệu/m²", 2 phòng,,, 1 phòng, Chung cư, Đang chờ sổ,,,,,,"1,98 tỷ- 71 m2đ"
"79-81, 79-81 Đường Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh", Đã bàn giao, 71 m²," 38,31 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,,,,,"2,72 tỷ- 71 m2đ"
"Đường Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh", Đã bàn giao, 78 m²," 33,21 triệu/m²", 2 phòng, mp4-5,9, 2 phòng, Chung cư, Đang chờ sổ,,,,,,"2,59 tỷ- 78 m2đ"
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh", Đã bàn giao, 50 m²," 27,8 triệu/m²", 1 phòng, A2,3, 1 phòng, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Nam, Bắc,,"1,39 tỷ- 50 m2đ"
"Đường Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, Tp Hồ Chí Minh", Đã bàn giao, 40 m²," 3,75 triệu/m²", 1 phòng,,, 1 phòng, Chung cư, Đã có sổ,,,,,,150 triệu- 40 m2đ
